,y(t-3),y(t-2),y(t-1),y(t)
162,6.02,6.1133,6.2067,6.3
163,6.1133,6.2067,6.3,6.2
164,6.2067,6.3,6.2,6.1
165,6.3,6.2,6.1,6.0
166,6.2,6.1,6.0,5.9333
167,6.1,6.0,5.9333,5.8667
168,6.0,5.9333,5.8667,5.8
169,5.9333,5.8667,5.8,5.8
170,5.8667,5.8,5.8,5.8
171,5.8,5.8,5.8,5.8
172,5.8,5.8,5.8,5.7933
173,5.8,5.8,5.7933,5.7867
174,5.8,5.7933,5.7867,5.78
175,5.7933,5.7867,5.78,5.83
176,5.7867,5.78,5.83,5.88
177,5.78,5.83,5.88,5.93
178,5.83,5.88,5.93,5.92
179,5.88,5.93,5.92,5.91
180,5.93,5.92,5.91,5.9
181,5.92,5.91,5.9,5.9
182,5.91,5.9,5.9,5.9
183,5.9,5.9,5.9,5.9
184,5.9,5.9,5.9,5.8433
185,5.9,5.9,5.8433,5.7867
186,5.9,5.8433,5.7867,5.73
187,5.8433,5.7867,5.73,5.67
188,5.7867,5.73,5.67,5.61
189,5.73,5.67,5.61,5.55
190,5.67,5.61,5.55,5.4
191,5.61,5.55,5.4,5.25
192,5.55,5.4,5.25,5.1
193,5.4,5.25,5.1,5.3
194,5.25,5.1,5.3,5.5
195,5.1,5.3,5.5,5.7
196,5.3,5.5,5.7,5.7167
197,5.5,5.7,5.7167,5.7333
198,5.7,5.7167,5.7333,5.75
199,5.7167,5.7333,5.75,5.7467
200,5.7333,5.75,5.7467,5.7433
201,5.75,5.7467,5.7433,5.74
202,5.7467,5.7433,5.74,5.76
203,5.7433,5.74,5.76,5.78
204,5.74,5.76,5.78,5.8
205,5.76,5.78,5.8,5.8
206,5.78,5.8,5.8,5.8
207,5.8,5.8,5.8,5.8
208,5.8,5.8,5.8,5.8
209,5.8,5.8,5.8,5.8
210,5.8,5.8,5.8,5.8
211,5.8,5.8,5.8,5.7733
212,5.8,5.8,5.7733,5.7467
213,5.8,5.7733,5.7467,5.72
214,5.7733,5.7467,5.72,5.78
215,5.7467,5.72,5.78,5.84
216,5.72,5.78,5.84,5.9
217,5.78,5.84,5.9,5.8667
218,5.84,5.9,5.8667,5.8333
219,5.9,5.8667,5.8333,5.8
220,5.8667,5.8333,5.8,5.7167
221,5.8333,5.8,5.7167,5.6333
222,5.8,5.7167,5.6333,5.55
223,5.7167,5.6333,5.55,5.5333
224,5.6333,5.55,5.5333,5.5167
225,5.55,5.5333,5.5167,5.5
226,5.5333,5.5167,5.5,5.5267
227,5.5167,5.5,5.5267,5.5533
228,5.5,5.5267,5.5533,5.58
229,5.5267,5.5533,5.58,5.5867
230,5.5533,5.58,5.5867,5.5933
231,5.58,5.5867,5.5933,5.6
232,5.5867,5.5933,5.6,5.5667
233,5.5933,5.6,5.5667,5.5333
234,5.6,5.5667,5.5333,5.5
235,5.5667,5.5333,5.5,5.4833
236,5.5333,5.5,5.4833,5.4667
237,5.5,5.4833,5.4667,5.45
238,5.4833,5.4667,5.45,5.3833
239,5.4667,5.45,5.3833,5.3167
240,5.45,5.3833,5.3167,5.25
241,5.3833,5.3167,5.25,5.2333
242,5.3167,5.25,5.2333,5.2167
243,5.25,5.2333,5.2167,5.2
244,5.2333,5.2167,5.2,5.2167
245,5.2167,5.2,5.2167,5.2333
246,5.2,5.2167,5.2333,5.25
